M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
2, 3, 3.000000, BB_DP, 1.000000, 0.002403, 1.000000, 1, 1
2, 3, 3.000000, PDP, 1.000000, 0.000039, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.032824, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 2.596300, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.003543, 1.000000, 0, 1
2, 3, 3.000000, PDP, 1.000000, 0.000065, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.023021, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 2.487900, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.003674, 1.000000, 2, 1
2, 3, 3.000000, PDP, 1.000000, 0.000039, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.025336, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 3.638700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002699, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000045, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.016808, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 2.539400, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 2.000000, 0.002436, 1.000000, 2, 1
2, 3, 3.000000, PDP, 2.000000, 0.000065, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 2.000000, 0.018843, 1.000000, 0, 1
2, 3, 3.000000, TABU, 2.000000, 2.171600, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 3.000000, 0.002739, 1.000000, 3, 1
2, 3, 3.000000, PDP, 3.000000, 0.000043, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 3.000000, 0.012211, 1.000000, 0, 1
2, 3, 3.000000, TABU, 3.000000, 2.985500, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 2.000000, 0.001989, 1.000000, 0, 1
2, 3, 3.000000, PDP, 2.000000, 0.000065, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 2.000000, 0.019586, 1.000000, 0, 1
2, 3, 3.000000, TABU, 2.000000, 2.536700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002151, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000030, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.012234, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 2.399200, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002635, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000062, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.018391, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 2.446100, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.002636, 1.000000, 2, 1
2, 3, 3.000000, PDP, 1.000000, 0.000032, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.017552, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 3.340200, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.001879, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000046, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.017351, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 3.259700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002949, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000056, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.012133, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 1.804900, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 3.000000, 0.001987, 1.000000, 1, 1
2, 3, 3.000000, PDP, 3.000000, 0.000059, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 3.000000, 0.009235, 1.000000, 0, 1
2, 3, 3.000000, TABU, 3.000000, 1.986700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.001935, 1.000000, 2, 1
2, 3, 3.000000, PDP, 1.000000, 0.000037, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.017924, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 1.824800, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 2.000000, 0.002640, 1.000000, 1, 1
2, 3, 3.000000, PDP, 2.000000, 0.000021, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 2.000000, 0.015579, 1.000000, 0, 1
2, 3, 3.000000, TABU, 2.000000, 2.185100, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 1.000000, 0.001460, 1.000000, 3, 1
2, 3, 3.000000, PDP, 1.000000, 0.000017, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 1.000000, 0.014206, 1.000000, 0, 1
2, 3, 3.000000, TABU, 1.000000, 1.935800, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.001919, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000072, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.009499, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 1.934700, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.001922, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000034, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.012747, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 1.770400, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 3.000000, 0.002953, 1.000000, 4, 1
2, 3, 3.000000, PDP, 3.000000, 0.000054, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 3.000000, 0.016467, 1.000000, 0, 1
2, 3, 3.000000, TABU, 3.000000, 2.621600, 1.000000, 0, 1
2, 3, 3.000000, BB_DP, 0.000000, 0.002746, 1.000000, 0, 1
2, 3, 3.000000, PDP, 0.000000, 0.000046, 1.000000, 0, 1
2, 3, 3.000000, MODEL1, 0.000000, 0.010699, 1.000000, 0, 1
2, 3, 3.000000, TABU, 0.000000, 2.139900, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003488, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000076, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.017729, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.643900, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003363, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000096, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.013139, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.731100, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004074, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000063, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.018788, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.194000, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003511, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000194, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.020083, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.128100, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003287, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000053, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.010595, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.747500, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 1.000000, 0.003100, 1.000000, 5, 1
3, 3, 3.000000, PDP, 1.000000, 0.000032, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 1.000000, 0.032550, 1.000000, 0, 1
3, 3, 3.000000, TABU, 1.000000, 3.027100, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003628, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000049, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.011699, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.206100, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.002680, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000025, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.012981, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 2.952700, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004929, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000081, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.016545, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.428200, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003064, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000072, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.018003, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 2.612400, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003581, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000059, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.017697, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 2.850000, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.002995, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000053, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.012188, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.704400, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004032, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000055, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.016951, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.095000, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004677, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000089, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.020023, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.775100, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003046, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000079, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.007520, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.963700, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.004096, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000045, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.018315, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.996000, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003703, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000064, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.013741, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.297700, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003584, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000066, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.016198, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 2.906400, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.002939, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000090, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.017312, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 3.406600, 1.000000, 0, 1
3, 3, 3.000000, BB_DP, 0.000000, 0.003090, 1.000000, 0, 1
3, 3, 3.000000, PDP, 0.000000, 0.000073, 1.000000, 0, 1
3, 3, 3.000000, MODEL1, 0.000000, 0.015712, 1.000000, 0, 1
3, 3, 3.000000, TABU, 0.000000, 4.917200, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.003442, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000064, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.014972, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 3.008200, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.003792, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000098, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.010681, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 4.955500, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.003477, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000054, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.015314, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 3.073500, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.004950, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000065, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.013863, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 3.701100, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.002609, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000053, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.011554, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 2.228400, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.002125, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000042, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.018330, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 2.722700, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.002395, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000144, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.016856, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 2.666700, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.001997, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000055, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.008075, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 2.115000, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.002571, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000067, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.018457, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 2.865400, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.002497, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000081, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.018203, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 4.959100, 1.000000, 0, 1
5, 3, 3.000000, BB_DP, 0.000000, 0.004947, 1.000000, 0, 1
5, 3, 3.000000, PDP, 0.000000, 0.000110, 1.000000, 0, 1
5, 3, 3.000000, MODEL1, 0.000000, 0.021811, 1.000000, 0, 1
5, 3, 3.000000, TABU, 0.000000, 5.667800, 1.000000, 0, 1
